Customer ID,Recommended_Products
CUST_0001,"Dining Rewards Card, Auto Loan, Travel Credit Card"
CUST_0002,"Wellness Insurance, Premium Savings Account, Peer Transfer Wallet"
CUST_0003,"Peer Transfer Wallet, Lifestyle Credit Card, Essential Spending Card"
CUST_0004,"Rewards Credit Card, Auto Loan, Lifestyle Credit Card"
CUST_0005,"Peer Transfer Wallet, Auto Loan, Essential Spending Card"
CUST_0006,"Supermarket Cashback Card, Wellness Insurance, Auto Loan"
CUST_0007,"Supermarket Cashback Card, Auto Loan, Travel Credit Card"
CUST_0008,"Auto Loan, Travel Credit Card, Essential Spending Card"
CUST_0009,"Dining Rewards Card, Peer Transfer Wallet, Wellness Insurance"
CUST_0010,"Essential Spending Card, Rewards Credit Card, Wellness Insurance"
CUST_0011,"Premium Savings Account, Health Insurance, Essential Spending Card"
CUST_0012,"Essential Spending Card, Premium Savings Account, Dining Rewards Card"
CUST_0013,"Wellness Insurance, Peer Transfer Wallet, Premium Savings Account"
CUST_0014,"Travel Credit Card, Auto Loan, Dining Rewards Card"
CUST_0015,"Peer Transfer Wallet, Rewards Credit Card, Auto Loan"
CUST_0016,"Travel Credit Card, Premium Savings Account, Home Loan"
CUST_0017,"Wellness Insurance, Travel Credit Card, Dining Rewards Card"
CUST_0018,"Rewards Credit Card, Health Insurance, Supermarket Cashback Card"
CUST_0019,"Premium Savings Account, Peer Transfer Wallet, Dining Rewards Card"
CUST_0020,"Auto Loan, Premium Savings Account, Lifestyle Credit Card"
CUST_0021,"Auto Loan, Travel Credit Card, Health Insurance"
CUST_0022,"Peer Transfer Wallet, Dining Rewards Card, Essential Spending Card"
CUST_0023,"Rewards Credit Card, Peer Transfer Wallet, Auto Loan"
CUST_0024,"Essential Spending Card, Supermarket Cashback Card, Rewards Credit Card"
CUST_0025,"Dining Rewards Card, Wellness Insurance, Essential Spending Card"
CUST_0026,"Travel Credit Card, Premium Savings Account, Auto Loan"
CUST_0027,"Health Insurance, Essential Spending Card, Dining Rewards Card"
CUST_0028,"Wellness Insurance, Dining Rewards Card, Lifestyle Credit Card"
CUST_0029,"Auto Loan, Essential Spending Card, Health Insurance"
CUST_0030,"Peer Transfer Wallet, Health Insurance, Dining Rewards Card"
CUST_0031,"Health Insurance, Premium Savings Account, Rewards Credit Card"
CUST_0032,"Health Insurance, Wellness Insurance, Auto Loan"
CUST_0033,"Travel Credit Card, Health Insurance, Peer Transfer Wallet"
CUST_0034,"Auto Loan, Dining Rewards Card, Peer Transfer Wallet"
CUST_0035,"Auto Loan, Rewards Credit Card, Travel Credit Card"
CUST_0036,"Rewards Credit Card, Health Insurance, Dining Rewards Card"
CUST_0037,"Premium Savings Account, Dining Rewards Card, Peer Transfer Wallet"
CUST_0038,"Supermarket Cashback Card, Peer Transfer Wallet, Rewards Credit Card"
CUST_0039,"Rewards Credit Card, Peer Transfer Wallet, Health Insurance"
CUST_0040,"Auto Loan, Peer Transfer Wallet, Lifestyle Credit Card"
CUST_0041,"Supermarket Cashback Card, Dining Rewards Card, Peer Transfer Wallet"
CUST_0042,"Wellness Insurance, Premium Savings Account, Lifestyle Credit Card"
CUST_0043,"Dining Rewards Card, Auto Loan, Travel Credit Card"
CUST_0044,"Lifestyle Credit Card, Essential Spending Card, Travel Credit Card"
CUST_0045,"Peer Transfer Wallet, Dining Rewards Card, Auto Loan"
CUST_0046,"Dining Rewards Card, Wellness Insurance, Peer Transfer Wallet"
CUST_0047,"Lifestyle Credit Card, Travel Credit Card, Dining Rewards Card"
CUST_0048,"Peer Transfer Wallet, Dining Rewards Card, Essential Spending Card"
CUST_0049,"Health Insurance, Supermarket Cashback Card, Travel Credit Card"
CUST_0050,"Health Insurance, Supermarket Cashback Card, Wellness Insurance"
CUST_0051,"Auto Loan, Health Insurance, Essential Spending Card"
CUST_0052,"Lifestyle Credit Card, Wellness Insurance, Travel Credit Card"
CUST_0053,"Travel Credit Card, Rewards Credit Card, Wellness Insurance"
CUST_0054,"Wellness Insurance, Rewards Credit Card, Travel Credit Card"
CUST_0055,"Auto Loan, Rewards Credit Card, Health Insurance"
CUST_0056,"Health Insurance, Lifestyle Credit Card, Peer Transfer Wallet"
CUST_0057,"Auto Loan, Supermarket Cashback Card, Rewards Credit Card"
CUST_0058,"Premium Savings Account, Dining Rewards Card, Travel Credit Card"
CUST_0059,"Travel Credit Card, Auto Loan, Home Loan"
CUST_0060,"Supermarket Cashback Card, Auto Loan, Peer Transfer Wallet"
CUST_0061,"Health Insurance, Lifestyle Credit Card, Premium Savings Account"
CUST_0062,"Wellness Insurance, Home Loan, Essential Spending Card"
CUST_0063,"Essential Spending Card, Dining Rewards Card, Peer Transfer Wallet"
CUST_0064,"Essential Spending Card, Rewards Credit Card, Travel Credit Card"
CUST_0065,"Wellness Insurance, Health Insurance, Travel Credit Card"
CUST_0066,"Dining Rewards Card, Rewards Credit Card, Travel Credit Card"
CUST_0067,"Rewards Credit Card, Lifestyle Credit Card, Dining Rewards Card"
CUST_0068,"Lifestyle Credit Card, Peer Transfer Wallet, Auto Loan"
CUST_0069,"Supermarket Cashback Card, Peer Transfer Wallet, Travel Credit Card"
CUST_0070,"Travel Credit Card, Supermarket Cashback Card, Essential Spending Card"
CUST_0071,"Health Insurance, Rewards Credit Card, Premium Savings Account"
CUST_0072,"Home Loan, Premium Savings Account, Auto Loan"
CUST_0073,"Travel Credit Card, Essential Spending Card, Supermarket Cashback Card"
CUST_0074,"Travel Credit Card, Wellness Insurance, Dining Rewards Card"
CUST_0075,"Peer Transfer Wallet, Home Loan, Dining Rewards Card"
CUST_0076,"Health Insurance, Essential Spending Card, Rewards Credit Card"
CUST_0077,"Health Insurance, Auto Loan, Peer Transfer Wallet"
CUST_0078,"Wellness Insurance, Rewards Credit Card, Home Loan"
CUST_0079,"Dining Rewards Card, Wellness Insurance, Essential Spending Card"
CUST_0080,"Auto Loan, Dining Rewards Card, Travel Credit Card"
CUST_0081,"Dining Rewards Card, Auto Loan, Travel Credit Card"
CUST_0082,"Rewards Credit Card, Travel Credit Card, Auto Loan"
CUST_0083,"Travel Credit Card, Rewards Credit Card, Auto Loan"
CUST_0084,"Supermarket Cashback Card, Essential Spending Card, Home Loan"
CUST_0085,"Supermarket Cashback Card, Dining Rewards Card, Premium Savings Account"
CUST_0086,"Wellness Insurance, Travel Credit Card, Auto Loan"
CUST_0087,"Peer Transfer Wallet, Rewards Credit Card, Dining Rewards Card"
CUST_0088,"Lifestyle Credit Card, Dining Rewards Card, Auto Loan"
CUST_0089,"Travel Credit Card, Home Loan, Auto Loan"
CUST_0090,"Health Insurance, Essential Spending Card, Peer Transfer Wallet"
CUST_0091,"Auto Loan, Essential Spending Card, Rewards Credit Card"
CUST_0092,"Rewards Credit Card, Dining Rewards Card, Travel Credit Card"
CUST_0093,"Premium Savings Account, Supermarket Cashback Card, Health Insurance"
CUST_0094,"Premium Savings Account, Health Insurance, Wellness Insurance"
CUST_0095,"Essential Spending Card, Rewards Credit Card, Dining Rewards Card"
CUST_0096,"Wellness Insurance, Lifestyle Credit Card, Cashback Credit Card"
CUST_0097,"Auto Loan, Wellness Insurance, Essential Spending Card"
CUST_0098,"Essential Spending Card, Travel Credit Card, Premium Savings Account"
CUST_0099,"Essential Spending Card, Wellness Insurance, Auto Loan"
CUST_0100,"Premium Savings Account, Home Loan, Wellness Insurance"
CUST_0101,"Health Insurance, Rewards Credit Card, Peer Transfer Wallet"
